onset,amplitude
0.7282,0
0.919408,1242996.5712
1.024887,5714688.4486
1.1582,530612.8534
1.464064,605409.5279
1.671187,541486.6624
1.9729,73715.0956
2.480433,2514012.3116
2.6871,373414.4552
2.851486,1160620.7125
3.723461,4686553.2282
4.2971,2961326.3208
4.3571,22054704.7733
4.4371,6705398.6393
4.725305,3060134.8365
4.9471,22054704.7733
5.053069,4976700.187
5.634385,5367429.846
6.2471,3160610.3643
6.8271,1482314.6278
7.5671,2399283.9755
8.3391,2243125.4743
9.432,6153159.9177
9.754797,2441752.0373
9.812,571516.6585
10.176363,1081960.1521
10.875705,184992.5499
11.486812,990570.4755
11.592,1272592.1697
11.99988,4686553.2282
12.4161,3372931.5582
13.343573,161018.3732
13.4694,1512497.5155
13.5094,5230102.6449
13.899993,7401563.5859
13.9994,30438950.9865
14.0794,6705398.6393
14.4637,3216561.6191
16.023198,6153159.9177
16.263999,2315322.017
16.3654,22065842.5256
16.436527,6705398.6393
16.7551,3157228.0344
17.584,355169.007
18.321912,461206.7196
18.811869,1109171.3648
18.984,185027.3791
19.45755,302024.8749
19.913324,2079387.3311
20.334,22054704.7733
20.9022,35932.5097
21.8756,2024526.8239
22.00599,2560046.527
22.1056,0
22.3056,0
22.5656,303518.4631
22.7056,5149162.1378
23.37093,4178987.7383
23.6256,758965.3989
23.745426,5639665.5326
24.149488,864125.4076
24.2556,1396820.7097
24.3556,349671.9197
24.7856,165529.0459
25.135004,94856.8744
25.2256,2591049.9371
25.4956,396040.0228
25.6056,22145497.7066
26.3391,4264054.556
27.776766,0
27.8869,0
28.1669,1217257.7867
28.266323,3372431.264
28.4869,3060134.8365
28.7369,22054704.7733
28.854372,4239567.0723
29.387381,1513192.5451
29.474285,30438950.9865
29.5869,6705398.6393
30.1011,2980963.3665
30.547531,1773631.1584
30.734243,1363473.7169
31.393568,3130106.3567
31.6005,2526170.5268
32.1305,1118982.724
32.2305,22049530.4619
32.286282,3417722.7245
32.6005,181820.3919
33.1246,434492.7964
33.5239,5013301.7203
33.7639,6645856.9825
34.0339,336975.4599
34.4139,3164081.6788
34.8236,3005933.7746
35.463054,10299.6661
35.875818,103519.0069
36.3626,111500.6492
36.6474,1440012.1816
37.3111,5603205.2855
37.6311,2687757.2685
37.8911,22227107.2433
38.3256,3551106.6559
