onset,amplitude
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0.01
0.14,0.07
0.15,0.13
0.16,0.15
0.17,0.16
0.18,0.15
0.19,0.15
0.2,0.14
0.21,0.14
0.22,0.13
0.23,0.17
0.24,0.28
0.25,0.38
0.26,0.4
0.27,0.38
0.28,0.35
0.29,0.33
0.3,0.31
0.31,0.29
0.32,0.29
0.33,0.29
0.34,0.27
0.35,0.25
0.36,0.23
0.37,0.21
0.38,0.21
0.39,0.2
0.4,0.19
0.41,0.19
0.42,0.2
0.43,0.19
0.44,0.18
0.45,0.16
0.46,0.12
0.47,0.08
0.48,0.05
0.49,0.03
0.5,0.02
0.51,0.03
0.52,0.05
0.53,0.08
0.54,0.11
0.55,0.12
0.56,0.13
0.57,0.14
0.58,0.15
0.59,0.17
0.6,0.19
0.61,0.18
0.62,0.16
0.63,0.16
0.64,0.15
0.65,0.14
0.66,0.14
0.67,0.12
0.68,0.09
0.69,0.08
0.7,0.06
0.71,0.04
0.72,0.02
0.73,0
0.74,0
0.75,0
0.76,0.01
0.77,0.02
0.78,0.04
0.79,0.07
0.8,0.1
0.81,0.15
0.82,0.21
0.83,0.31
0.84,0.38
0.85,0.38
0.86,0.35
0.87,0.33
0.88,0.26
0.89,0.22
0.9,0.22
0.91,0.22
0.92,0.24
0.93,0.24
0.94,0.22
0.95,0.22
0.96,0.22
0.97,0.23
0.98,0.23
0.99,0.24
1,0.25
1.01,0.26
1.02,0.29
1.03,0.3
1.04,0.29
1.05,0.26
1.06,0.24
1.07,0.26
1.08,0.3
1.09,0.34
1.1,0.37
1.11,0.37
1.12,0.3
1.13,0.2
1.14,0.13
1.15,0.12
1.16,0.16
1.17,0.18
1.18,0.18
1.19,0.18
1.2,0.16
1.21,0.14
1.22,0.12
1.23,0.13
1.24,0.16
1.25,0.15
1.26,0.1
1.27,0.05
1.28,0.09
1.29,0.14
1.3,0.14
1.31,0.1
1.32,0.05
1.33,0.02
1.34,0.01
1.35,0.01
1.36,0.02
1.37,0.03
1.38,0.07
1.39,0.12
1.4,0.14
1.41,0.15
1.42,0.16
1.43,0.15
1.44,0.12
1.45,0.09
1.46,0.05
1.47,0.08
1.48,0.16
1.49,0.2
1.5,0.26
1.51,0.33
1.52,0.37
1.53,0.33
1.54,0.27
1.55,0.23
1.56,0.21
1.57,0.2
1.58,0.19
1.59,0.15
1.6,0.1
1.61,0.1
1.62,0.14
1.63,0.14
1.64,0.11
1.65,0.1
1.66,0.06
1.67,0.06
1.68,0.19
1.69,0.27
1.7,0.28
1.71,0.22
1.72,0.15
1.73,0.13
1.74,0.11
1.75,0.1
1.76,0.1
1.77,0.1
1.78,0.1
1.79,0.09
1.8,0.1
1.81,0.1
1.82,0.09
1.83,0.08
1.84,0.08
1.85,0.08
1.86,0.09
1.87,0.08
1.88,0.08
1.89,0.08
1.9,0.08
1.91,0.06
1.92,0.04
1.93,0.03
1.94,0.03
1.95,0.05
1.96,0.04
1.97,0.02
1.98,0.01
1.99,0
2,0
2.01,0
2.02,0
2.03,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0.01
2.1,0.01
2.11,0.01
2.12,0
2.13,0.01
2.14,0.01
2.15,0.01
2.16,0.01
2.17,0.01
2.18,0.01
2.19,0.01
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0
2.25,0
2.26,0
2.27,0
2.28,0
2.29,0
2.3,0
2.31,0
2.32,0
2.33,0
2.34,0
2.35,0
2.36,0.02
2.37,0.08
2.38,0.15
2.39,0.2
2.4,0.23
2.41,0.24
2.42,0.27
2.43,0.28
2.44,0.28
2.45,0.28
2.46,0.26
2.47,0.24
2.48,0.2
2.49,0.14
2.5,0.16
2.51,0.19
2.52,0.17
2.53,0.14
2.54,0.14
2.55,0.13
2.56,0.11
2.57,0.12
2.58,0.14
2.59,0.18
2.6,0.18
2.61,0.11
2.62,0.12
2.63,0.21
2.64,0.3
2.65,0.35
2.66,0.35
2.67,0.33
2.68,0.3
2.69,0.3
2.7,0.29
2.71,0.29
2.72,0.29
2.73,0.29
2.74,0.3
2.75,0.28
2.76,0.27
2.77,0.25
2.78,0.24
2.79,0.24
2.8,0.24
2.81,0.24
2.82,0.24
2.83,0.23
2.84,0.2
2.85,0.22
2.86,0.24
2.87,0.23
2.88,0.24
2.89,0.25
2.9,0.26
2.91,0.25
2.92,0.27
2.93,0.28
2.94,0.25
2.95,0.23
2.96,0.24
2.97,0.26
2.98,0.28
2.99,0.3
3,0.29
3.01,0.25
3.02,0.18
3.03,0.1
3.04,0.04
3.05,0.02
3.06,0.01
3.07,0
3.08,0
3.09,0.01
3.1,0.05
3.11,0.13
3.12,0.2
3.13,0.24
3.14,0.26
3.15,0.26
3.16,0.24
3.17,0.24
3.18,0.24
3.19,0.22
3.2,0.22
3.21,0.22
3.22,0.21
3.23,0.2
3.24,0.19
3.25,0.21
3.26,0.24
3.27,0.25
3.28,0.24
3.29,0.2
3.3,0.12
3.31,0.03
3.32,0.02
3.33,0.02
3.34,0.02
3.35,0.02
3.36,0.02
3.37,0.02
3.38,0.02
3.39,0.02
3.4,0.02
3.41,0.01
3.42,0.02
3.43,0.14
3.44,0.23
3.45,0.21
3.46,0.11
3.47,0.08
3.48,0.16
