onset,amplitude
0.2458,0
0.3558,0
0.7558,0
0.9858,0
1.5758,0
1.9658,0
2.0758,1
2.1458,0
2.54,0
3.1492,0
3.6492,0
3.7392,0
3.8292,0
4.0792,0
4.5492,0
4.7292,0
5.0592,0
5.2592,0
5.6492,0
5.8292,0
5.9927,0
7.1006,0
7.4406,0
8.0106,0
8.6206,0
9.0506,0
9.4406,0
9.6306,0
9.8306,1
10.1306,1
10.3906,0
10.5306,0
10.6306,0
10.8606,0
10.9406,0
11.4406,0
12.0106,0
12.0406,0
12.1506,0
12.7406,0
13.4706,0
13.5906,0
13.6206,0
14.148,0
15.3656,0
15.4456,0
15.8656,0
16.0856,0
16.895,0
17.3244,0
17.4844,0
17.6044,0
17.7744,0
18.4744,0
18.9087,0
19.8866,0
20.2566,0
20.4766,0
20.8566,0
20.9766,0
21.5712,0
22.8491,0
23.3591,0
23.4691,0
23.6791,0
24.3789,0
25.4976,0
25.8476,0
26.2476,0
26.3576,0
26.5476,0
27.0821,0
28.2797,0
28.3297,0
28.4497,0
28.9797,0
29.3697,0
29.8046,0
30.8224,0
31.1024,0
31.1824,0
31.2424,0
31.4024,0
31.9074,0
32.2019,0
32.3919,0
32.7019,0
33.0619,0
33.4219,0
33.5419,0
34.0519,0
34.1619,0
34.5419,0
34.6119,0
34.8119,0
35.2619,0
35.4219,0
35.5219,0
35.7819,0
36.2606,0
37.0595,0
37.2695,0
37.5995,0
38.1495,0
38.4995,0
38.6895,0
39.2695,0
39.4495,0
39.7795,0
39.8495,0
40.3495,0
40.5095,0
40.6695,0
41.0095,0
41.7727,0
42.1071,0
42.2271,0
42.3971,0
42.6971,0
42.9471,0
43.4171,0
43.8371,1
44.1516,0
44.7305,0
44.8305,0
45.0405,0
45.1305,0
45.3705,0
45.4705,0
46.0149,0
47.3773,0
47.4473,0
47.5473,0
48.1073,0
48.5773,0
48.9771,0
49.8551,0
50.1151,0
50.5551,0
50.8051,0
50.9651,0
51.1851,1
51.3151,1
51.3651,0
51.9151,0
52.1451,0
52.2851,0
52.4051,0
52.6551,0
52.8793,0
53.6684,0
53.8584,0
54.3284,0
54.5684,0
54.6784,0
