onset,amplitude
0.3151,4
0.6551,2
1.1951,2
1.2851,2
1.3951,3
1.9051,1
2.0151,2
2.1251,2
2.8851,2
3.7444,1
4.9687,1
5.9279,1
7.037,1
8.0414,1
8.1514,2
9.3757,2
10.3146,4
10.4646,2
10.9146,2
11.1446,2
11.6546,3
11.8646,3
12.0546,2
12.3446,2
12.699,2
13.927,4
14.347,1
14.547,1
14.767,2
15.277,2
15.507,2
15.547,2
15.986,1
16.7993,4
16.9793,1
17.2993,2
17.7093,3
18.2793,2
18.4093,2
18.8393,2
19.0393,1
19.1793,1
19.3193,2
19.3993,2
20.3293,3
21.0893,1
21.2793,1
21.9293,2
22.3017,1
23.3799,4
23.9838,5
24.2538,2
24.3038,2
24.9338,1
25.5538,2
25.6338,3
25.9838,1
26.0938,3
26.2138,3
26.5138,2
26.8438,3
26.9438,2
27.0338,2
27.2338,1
27.7019,1
28.4805,3
28.5405,2
28.7805,1
29.1605,1
29.4205,2
29.9551,3
30.7436,3
31.2136,2
31.2836,2
31.7836,2
31.8836,2
32.0136,3
32.1036,3
32.1636,2
32.3836,2
32.7036,2
32.8736,3
33.3626,2
34.3859,4
34.6159,2
34.6759,1
34.9659,2
35.2259,2
35.3259,3
35.9403,2
36.3395,2
36.6895,1
36.8695,2
37.1695,2
37.4395,1
38.2539,1
38.6183,4
39.0283,2
39.2783,2
39.5583,1
39.6583,2
40.3825,2
41.6807,5
41.8107,2
41.9707,1
42.0707,2
42.2307,2
42.5507,2
42.7007,3
43.1253,2
43.5497,2
43.6497,3
43.9697,1
44.4197,3
44.6197,3
44.9397,2
45.3197,1
45.4097,3
45.9397,2
46.1497,2
46.4197,3
46.5997,2
47.308,2
48.5454,5
48.7854,1
49.2054,1
49.4554,2
49.8154,2
49.9554,2
50.0954,2
50.1254,2
50.5154,1
50.6154,3
51.0347,2
51.4739,1
51.5639,3
52.0739,1
52.2439,2
52.8839,2
53.2739,2
53.5939,2
53.7639,2
53.8939,2
54.7839,1
55.0939,1
55.5771,1
56.201,3
56.341,3
56.881,2
57.451,2
58.131,1
58.471,3
58.581,3
58.781,2
59.381,2
59.531,2
60.0348,2
60.7634,5
60.9034,2
61.4534,2
61.5534,2
61.9734,2
62.1534,3
62.3834,2
62.4834,2
62.5434,3
62.9934,1
63.4734,2
63.5034,2
63.6623,1
64.0067,2
64.4367,1
64.6767,2
64.7967,2
65.0614,2
65.6652,4
65.9852,2
66.0752,3
66.1852,2
66.3352,2
66.6451,2
67.5882,5
67.8982,2
67.9282,1
68.2782,2
69.0082,2
69.6082,2
69.6982,3
69.9182,1
70.4482,1
70.8982,2
71.4713,1
72.15,6
72.41,2
72.52,2
72.61,2
72.99,1
73.49,1
73.65,1
73.72,3
74.07,2
74.11,1
74.6944,2
75.4683,4
75.8483,2
76.3483,2
76.6183,1
77.3583,2
77.4583,4
77.8383,2
78.0183,3
78.1783,2
78.5214,2
78.9906,4
79.1906,2
79.3506,1
79.5406,2
79.9106,3
80.2306,1
80.3806,2
80.8654,2
81.7695,5
81.8495,2
82.0795,2
82.1095,2
82.9695,3
83.0495,2
83.7235,2
84.2027,4
84.4077,2
84.8422,3
85.1522,1
85.3122,4
85.4022,2
85.4822,2
85.7671,1
86.9601,6
87.5401,2
87.7595,2
88.3436,3
88.4636,2
88.5336,1
88.7436,2
89.0234,1
89.5726,4
89.6426,2
89.8726,1
90.3326,1
90.8021,3
91.8257,4
92.8957,4
92.9157,4
93.3457,2
93.4257,1
93.9946,5
94.6089,2
95.7589,3
96.1189,2
96.5989,3
97.2689,2
97.4089,3
98.1689,2
98.3289,1
98.9189,2
99.5478,2
100.326,3
100.796,3
100.866,2
101.166,1
101.296,1
101.706,2
102.226,2
103.059,3
103.129,2
103.509,1
104.279,3
104.909,1
105.019,2
105.199,3
105.779,1
105.909,2
106.618,2
107.222,4
107.422,2
107.462,1
108.012,2
108.857,2
109.186,4
109.336,2
109.446,2
110.256,1
110.76,1
111.764,3
112.264,2
112.394,3
112.594,2
112.794,2
112.914,2
113.533,2
113.932,2
114.212,2
114.662,2
115.252,1
116.485,4
116.575,3
117.055,2
117.085,2
117.639,1
118.023,4
118.173,2
118.433,2
118.773,2
119.333,3
119.373,3
119.763,2
119.853,2
120.373,1
120.513,3
120.913,2
121.333,2
121.533,2
121.613,2
122.327,1
122.741,1
122.901,2
122.991,3
123.391,1
123.611,2
123.791,1
124.111,2
124.271,2
124.961,2
125.141,2
125.291,1
125.431,2
125.511,3
125.921,1
126.031,1
126.424,1
126.983,4
127.103,2
127.223,2
127.463,2
127.888,1
129.11,4
129.23,1
129.59,2
130.04,2
130.514,4
130.754,1
131.154,1
131.674,2
132.193,2
132.802,5
133.292,2
133.482,3
133.562,2
133.762,2
134.117,2
134.786,2
134.866,3
135.166,1
135.666,3
136.586,3
137.006,2
137.126,2
137.216,3
137.636,1
137.716,2
137.876,2
138.216,1
138.724,1
139.772,3
139.842,2
140.112,1
140.532,1
140.662,2
141.397,2
141.921,4
142.451,1
142.631,2
143.18,2
144.094,4
144.364,1
144.544,2
144.834,2
145.164,1
145.704,3
146.188,1
147.876,4
148.265,2
148.525,2
148.635,2
149.184,3
150.004,3
150.174,1
150.654,2
150.764,2
150.824,2
151.548,1
152.077,4
152.447,2
152.637,3
152.777,2
152.997,2
153.077,3
153.107,3
153.632,1
154.421,2
154.521,3
154.801,2
154.871,2
155.255,1
156.409,5
156.923,2
157.183,3
157.313,3
157.473,3
157.953,2
158.991,5
159.616,2
160.046,2
160.136,3
160.486,1
160.606,2
160.636,2
161.606,1
162.315,1
163.348,4
164.083,2
165.057,4
165.427,1
165.627,2
165.667,2
166.197,1
166.727,1
167.187,3
167.427,2
167.627,3
168.187,1
168.407,2
168.627,1
169.157,1
169.277,1
169.337,2
169.924,1
171.092,4
171.352,2
171.902,1
172.451,4
172.531,2
172.771,1
173.191,1
174.175,4
174.485,2
174.939,1
175.229,2
175.449,1
175.939,2
176.513,4
176.672,2
177.033,1
177.203,2
177.392,1
177.693,2
178.803,1
178.993,3
179.172,2
179.562,2
180.311,2
181.229,3
181.299,2
181.759,1
182.169,2
182.399,2
183.078,4
183.557,2
183.982,2
184.212,1
184.546,2
185.346,4
185.766,2
186.395,2
186.954,4
187.064,2
187.234,1
187.704,2
188.579,2
190.226,4
190.666,1
191.056,2
191.146,2
191.396,1
191.826,1
191.986,2
192.46,2
193.229,4
193.359,3
193.489,2
193.799,2
193.909,3
194.569,2
194.989,2
195.229,2
195.289,2
195.399,2
195.669,2
195.819,3
196.219,2
196.589,4
197.472,1
197.921,2
198.801,2
198.891,1
199.161,2
199.241,2
199.771,1
199.911,1
200.171,2
200.521,2
200.951,1
201.521,1
201.621,2
201.691,2
202.011,1
202.311,1
203.041,2
203.221,3
203.571,2
203.731,3
203.921,2
204.141,2
204.469,1
205.662,3
205.792,2
205.912,3
206.232,2
206.322,3
206.592,1
207.272,1
207.452,2
207.562,3
208.072,2
208.322,2
208.862,1
209.072,1
209.57,1
210.134,3
210.564,2
210.704,2
210.904,2
211.374,1
211.484,3
211.824,2
211.894,3
212.114,1
212.184,2
212.653,1
214,3
214.06,2
214.27,2
214.39,3
214.61,2
214.65,3
215.405,1
216.034,2
216.324,3
216.534,2
216.758,3
217.253,3
217.343,4
217.653,1
217.743,2
218.202,2
219.29,3
219.43,3
219.75,2
219.79,2
220.24,1
220.33,3
220.64,2
220.88,2
221.18,2
221.5,1
221.64,2
221.95,2
222.17,3
222.23,2
222.819,1
223.253,1
223.373,4
223.633,2
223.693,2
224.113,1
224.593,1
224.977,1
225.107,2
225.467,2
225.837,2
226.037,2
226.087,2
226.377,1
226.667,1
227.405,1
227.535,2
227.655,3
228.055,1
228.276,2
228.495,1
228.856,2
229.035,2
229.166,3
229.485,1
230.075,2
230.669,3
230.819,4
230.909,2
231.119,2
231.229,2
231.379,2
231.469,2
231.579,2
231.833,1
232.852,4
233.401,2
233.491,2
233.721,1
234.181,1
234.671,2
236.169,4
237.082,4
237.332,2
237.662,2
237.742,2
237.982,2
238.522,1
238.872,2
239.132,4
239.232,3
239.482,2
239.886,2
240.21,2
240.5,1
240.77,2
240.99,2
242.364,4
242.514,2
242.904,2
243.194,2
243.844,1
243.994,2
244.537,2
245.271,4
245.421,3
245.751,2
245.941,2
246.351,1
246.451,3
246.621,2
246.791,1
247.051,1
247.541,2
247.761,2
247.851,2
248.121,1
248.181,2
248.921,2
249.281,2
249.431,2
249.511,2
250.149,2
250.942,4
251.242,2
251.382,2
251.642,1
251.722,3
252.142,2
252.732,2
252.982,2
253.162,3
253.552,1
253.672,2
254.132,2
255.429,4
255.629,2
256.334,2
256.703,4
256.953,1
257.323,1
257.773,2
257.983,3
258.183,3
258.523,3
258.903,2
258.943,2
259.483,1
259.683,2
259.753,3
259.843,2
260.173,2
260.377,2
261.335,4
261.485,2
261.675,2
261.825,2
262.31,1
262.699,4
262.869,2
263.249,2
263.439,2
264.243,3
264.383,2
264.603,2
264.943,2
265.353,3
265.463,2
265.613,3
266.113,1
266.193,2
267.053,2
267.323,2
267.963,3
268.093,2
268.686,2
269.719,4
269.899,2
270.189,2
270.404,2
271.143,4
271.223,2
271.443,1
271.928,1
273.211,4
274.196,4
274.796,4
274.856,3
275.166,1
275.656,3
276.216,3
276.286,2
276.826,1
277.304,1
278.932,4
279.916,4
280.915,4
281.155,2
281.605,2
282.504,2
284.108,3
285.136,2
285.266,3
285.466,2
285.716,3
286.116,1
286.476,2
286.796,3
287.046,1
287.146,2
287.385,2
288.089,3
288.229,2
288.399,2
288.869,2
289.099,3
289.259,1
289.399,3
289.519,2
290.009,2
291.027,4
291.247,1
291.627,1
292.157,2
292.841,4
292.991,2
293.571,2
293.821,2
294.131,1
294.79,1
295.654,3
295.894,2
296.084,2
296.264,2
296.744,2
297.074,2
297.154,3
297.384,1
297.834,1
298.811,5
298.872,2
299.262,3
299.461,1
299.581,2
299.802,2
300.116,2
300.496,2
300.716,2
300.946,2
301.196,2
301.566,1
301.686,4
301.746,2
302.016,2
302.384,2
302.978,5
303.228,1
303.518,2
303.937,2
304.037,3
304.297,1
304.797,3
304.997,3
305.297,2
305.677,1
305.747,2
306.027,3
306.097,2
306.686,1
307.09,4
307.33,1
307.54,2
307.859,4
308.009,2
308.209,2
308.289,3
308.349,2
308.879,1
309.948,5
310.098,2
310.447,2
311.381,4
311.851,2
312.425,2
313.594,2
314.438,3
314.628,2
314.668,2
315.128,2
315.268,2
315.408,2
315.997,2
316.781,5
316.891,2
317.161,1
317.321,2
317.725,2
318.005,2
318.245,1
318.525,2
318.625,2
318.805,2
318.865,4
319.665,2
319.825,1
320.045,2
320.255,2
320.295,3
320.745,1
321.085,1
321.165,2
321.315,2
321.793,1
322.576,5
322.676,2
322.906,2
323.516,1
323.546,3
323.846,2
323.996,3
324.346,1
324.496,2
324.526,2
325.016,1
325.106,1
325.196,3
325.576,2
325.666,3
325.766,2
326.135,2
327.148,5
327.278,1
327.388,2
327.498,2
327.948,2
328.317,2
328.711,4
328.802,3
329.052,1
329.762,1
329.852,3
330.311,3
330.622,2
330.771,3
330.972,2
331.262,2
331.512,1
331.912,1
332.012,2
332.122,3
332.302,1
332.591,1
332.651,2
332.731,2
333.25,1
333.818,5
333.948,2
334.068,3
334.309,1
334.579,1
334.928,2
335.941,4
336.051,2
336.271,2
336.601,2
337.461,2
337.681,2
337.921,1
338.38,2
338.965,4
339.135,2
339.215,3
339.535,2
340.065,1
340.225,1
340.355,2
340.649,2
341.417,4
341.557,2
341.867,2
342.087,1
342.517,1
342.657,3
342.917,2
343.667,2
343.837,2
343.947,3
344.227,2
344.577,3
344.931,2
345.685,4
345.775,3
346.275,2
346.425,2
346.735,3
347.345,2
347.779,2
348.169,2
348.299,2
348.409,2
348.889,2
349.413,1
350.682,5
351.051,2
351.141,2
351.361,1
352.161,1
352.391,2
352.541,2
352.761,2
353.021,2
353.641,2
354.2,2
354.699,4
354.899,2
354.949,1
355.069,2
355.259,3
355.459,2
355.899,2
357.107,4
358.101,4
358.88,4
358.96,2
359.45,1
359.63,4
359.77,2
360.19,2
360.64,1
360.87,2
361.29,3
361.43,1
361.59,2
362.04,1
362.15,2
362.26,2
362.33,2
362.6,1
363.01,1
363.07,4
363.5,2
363.64,2
363.78,2
364.107,2
364.771,4
364.931,2
365.201,2
365.421,2
365.621,1
365.971,1
366.395,4
366.635,3
366.735,2
367.035,2
367.145,2
367.235,2
367.615,2
367.785,2
367.905,2
368.29,2
369.279,4
369.599,2
369.889,1
369.989,2
370.499,2
370.629,2
370.839,2
371.383,1
372.086,3
372.156,2
372.326,2
372.726,2
372.916,2
373.036,2
373.266,2
373.746,1
373.866,3
374.306,2
374.396,2
374.976,4
375.106,2
375.336,4
375.566,1
375.656,2
375.87,2
377.078,5
377.867,4
377.957,2
378.167,1
378.612,1
379.176,2
379.256,1
379.496,2
379.586,3
380.046,2
380.496,2
380.616,2
381.095,2
381.994,1
382.114,3
382.294,2
382.574,2
382.604,4
382.694,2
382.894,2
383.044,2
383.194,2
383.539,1
384.507,5
384.887,2
384.957,2
385.312,1
386.12,3
386.21,2
386.47,1
387.29,1
387.59,3
387.85,2
388.33,2
388.61,3
388.924,2
389.313,2
389.533,2
389.883,1
389.973,3
390.293,2
390.463,2
390.663,1
391.163,1
392.226,4
392.386,3
392.956,1
393.336,2
393.426,3
393.546,2
394.156,3
394.635,1
395.089,2
395.399,2
395.539,2
395.769,2
395.899,3
396.129,2
396.319,2
396.349,2
396.899,1
397.363,1
398.167,4
398.467,2
398.627,2
398.917,2
399.137,3
399.876,2
400.206,3
400.486,2
400.636,3
400.836,2
401.066,2
401.306,2
401.356,2
401.875,1
402.594,5
402.984,2
403.094,2
403.304,2
403.444,2
404.104,3
404.234,2
404.873,2
406.335,3
406.425,3
406.735,1
407.005,2
407.335,3
407.825,1
408.099,3
408.419,1
408.779,1
409.469,2
409.629,2
410.098,2
410.897,2
411.247,2
411.287,2
411.812,1
412.247,2
412.407,2
412.801,1
413.934,5
414.174,2
414.244,3
414.384,2
415.174,1
415.533,2
415.863,1
416.453,3
416.823,1
417.128,2
417.871,4
418.121,2
418.171,3
419.131,1
419.291,1
419.411,2
420.086,2
421.328,5
421.958,1
422.018,2
422.388,2
423.217,1
423.542,2
423.782,1
424.172,1
424.382,2
424.512,2
425.042,2
425.172,2
425.262,3
425.872,2
425.992,2
426.232,2
426.611,1
428.096,4
428.516,1
429.006,1
429.146,2
429.706,2
429.886,2
429.916,2
430.476,1
430.834,1
432.323,4
432.662,4
432.982,2
433.052,2
433.392,1
433.552,2
433.642,2
434.267,1
435.366,5
435.436,2
436.006,1
436.316,1
436.486,2
436.876,3
437.016,2
437.436,1
437.526,2
437.956,2
438.036,2
438.266,1
438.73,1
439.814,4
439.974,3
