onset,amplitude
0.3151,1
0.6551,1
1.1951,1
1.2851,1
1.3951,1
1.9051,1
2.0151,1
2.1251,1
2.8851,1
3.7444,1
4.9687,1
5.9279,1
7.037,1
8.0414,1
8.1514,1
9.3757,1
10.3146,1
10.4646,1
10.9146,1
11.1446,1
11.6546,1
11.8646,1
12.0546,1
12.3446,1
12.699,1
13.927,1
14.347,1
14.547,1
14.767,1
15.277,1
15.507,1
15.547,1
15.986,1
16.7993,1
16.9793,1
17.2993,1
17.7093,1
18.2793,1
18.4093,1
18.8393,1
19.0393,1
19.1793,1
19.3193,1
19.3993,1
20.3293,1
21.0893,1
21.2793,1
21.9293,1
22.3017,1
23.3799,1
23.9838,1
24.2538,1
24.3038,1
24.9338,1
25.5538,1
25.6338,1
25.9838,1
26.0938,1
26.2138,1
26.5138,1
26.8438,1
26.9438,1
27.0338,1
27.2338,1
27.7019,1
28.4805,1
28.5405,1
28.7805,1
29.1605,1
29.4205,1
29.9551,1
30.7436,1
31.2136,1
31.2836,1
31.7836,1
31.8836,1
32.0136,1
32.1036,1
32.1636,1
32.3836,1
32.7036,1
32.8736,1
33.3626,1
34.3859,1
34.6159,1
34.6759,1
34.9659,1
35.2259,1
35.3259,1
35.9403,1
36.3395,1
36.6895,1
36.8695,1
37.1695,1
37.4395,1
38.2539,1
38.6183,1
39.0283,1
39.2783,1
39.5583,1
39.6583,1
40.3825,1
41.6807,1
41.8107,1
41.9707,1
42.0707,1
42.2307,1
42.5507,1
42.7007,1
43.1253,1
43.5497,1
43.6497,1
43.9697,1
44.4197,1
44.6197,1
44.9397,1
45.3197,1
45.4097,1
45.9397,1
46.1497,1
46.4197,1
46.5997,1
47.308,1
48.5454,1
48.7854,1
49.2054,1
49.4554,1
49.8154,1
49.9554,1
50.0954,1
50.1254,1
50.5154,1
50.6154,1
51.0347,1
51.4739,1
51.5639,1
52.0739,1
52.2439,1
52.8839,1
53.2739,1
53.5939,1
53.7639,1
53.8939,1
54.7839,1
55.0939,1
55.5771,1
56.201,1
56.341,1
56.881,1
57.451,1
58.131,1
58.471,1
58.581,1
58.781,1
59.381,1
59.531,1
60.0348,1
60.7634,1
60.9034,1
61.4534,1
61.5534,1
61.9734,1
62.1534,1
62.3834,1
62.4834,1
62.5434,1
62.9934,1
63.4734,1
63.5034,1
63.6623,1
64.0067,1
64.4367,1
64.6767,1
64.7967,1
65.0614,1
65.6652,1
65.9852,1
66.0752,1
66.1852,1
66.3352,1
66.6451,1
67.5882,1
67.8982,1
67.9282,1
68.2782,1
69.0082,1
69.6082,1
69.6982,1
69.9182,1
70.4482,1
70.8982,1
71.4713,1
72.41,1
72.52,1
72.61,1
72.99,1
73.49,1
73.65,1
73.72,1
74.07,1
74.11,1
74.6944,1
75.4683,1
75.8483,1
76.3483,1
76.6183,1
77.3583,1
77.4583,1
77.8383,1
78.0183,1
78.1783,1
78.5214,1
78.9906,1
79.1906,1
79.3506,1
79.5406,1
79.9106,1
80.2306,1
80.3806,1
80.8654,1
81.7695,1
81.8495,1
82.0795,1
82.1095,1
82.9695,1
83.0495,1
83.7235,1
84.2027,1
84.4077,1
84.8422,1
85.1522,1
85.3122,1
85.4022,1
85.4822,1
85.7671,1
86.9601,1
87.5401,1
87.7595,1
88.3436,1
88.4636,1
88.5336,1
88.7436,1
89.0234,1
89.5726,1
89.6426,1
89.8726,1
90.3326,1
90.8021,1
91.8257,1
92.8957,1
93.3457,1
93.4257,1
93.9946,1
94.6089,1
96.1189,1
96.5989,1
97.2689,1
97.4089,1
98.1689,1
98.3289,1
98.9189,1
99.5478,1
100.326,1
100.866,1
101.166,1
101.296,1
101.706,1
102.226,1
103.059,1
103.129,1
103.509,1
104.279,1
104.909,1
105.019,1
105.199,1
105.779,1
105.909,1
106.618,1
107.222,1
107.422,1
107.462,1
108.012,1
108.857,1
109.186,1
109.336,1
109.446,1
110.256,1
110.76,1
111.764,1
112.264,1
112.394,1
112.594,1
112.794,1
112.914,1
113.533,1
113.932,1
114.212,1
114.662,1
115.252,1
116.485,1
116.575,1
117.055,1
117.085,1
117.639,1
118.023,1
118.173,1
118.433,1
118.773,1
119.333,1
119.373,1
119.763,1
119.853,1
120.373,1
120.513,1
120.913,1
121.333,1
121.533,1
121.613,1
122.741,1
122.901,1
122.991,1
123.391,1
123.611,1
123.791,1
124.111,1
124.271,1
124.961,1
125.141,1
125.291,1
125.431,1
125.511,1
125.921,1
126.031,1
126.424,1
126.983,1
127.103,1
127.223,1
127.463,1
127.888,1
129.11,1
129.23,1
129.59,1
130.04,1
130.514,1
130.754,1
131.154,1
132.193,1
132.802,1
133.292,1
133.482,1
133.562,1
133.762,1
134.117,1
134.786,1
134.866,1
135.166,1
135.666,1
136.586,1
137.006,1
137.126,1
137.216,1
137.636,1
137.716,1
137.876,1
138.216,1
138.724,1
139.772,1
139.842,1
140.112,1
140.532,1
140.662,1
141.397,1
141.921,1
142.451,1
142.631,1
143.18,1
144.094,1
144.364,1
144.544,1
144.834,1
145.164,1
145.704,1
146.188,1
147.876,1
148.265,1
148.525,1
148.635,1
149.184,1
150.004,1
150.174,1
150.654,1
150.764,1
150.824,1
151.548,1
152.077,1
152.447,1
152.637,1
152.777,1
152.997,1
153.077,1
153.107,1
153.632,1
154.421,1
154.521,1
154.801,1
154.871,1
155.255,1
156.409,1
156.923,1
157.183,1
157.313,1
157.473,1
157.953,1
158.991,1
159.616,1
160.046,1
160.136,1
160.486,1
160.606,1
160.636,1
161.606,1
162.315,1
163.348,1
164.083,1
165.057,1
165.427,1
165.627,1
165.667,1
166.197,1
166.727,1
167.187,1
167.427,1
167.627,1
168.187,1
168.407,1
168.627,1
169.157,1
169.277,1
169.337,1
169.924,1
171.092,1
171.352,1
171.902,1
172.451,1
172.531,1
172.771,1
173.191,1
174.175,1
174.485,1
174.939,1
175.229,1
175.449,1
175.939,1
176.513,1
176.672,1
177.033,1
177.203,1
177.392,1
177.693,1
178.803,1
178.993,1
179.172,1
179.562,1
180.311,1
181.229,1
181.299,1
181.759,1
182.169,1
182.399,1
183.078,1
183.557,1
183.982,1
184.212,1
184.546,1
185.346,1
185.766,1
186.395,1
186.954,1
187.064,1
187.234,1
187.704,1
188.579,1
190.226,1
190.666,1
191.056,1
191.146,1
191.396,1
191.826,1
191.986,1
192.46,1
193.229,1
193.359,1
193.489,1
193.799,1
193.909,1
194.569,1
194.989,1
195.229,1
195.399,1
195.669,1
195.819,1
196.219,1
196.589,1
197.472,1
197.921,1
198.801,1
198.891,1
199.161,1
199.241,1
199.771,1
199.911,1
200.171,1
200.521,1
200.951,1
201.521,1
201.621,1
201.691,1
202.011,1
202.311,1
203.041,1
203.221,1
203.571,1
203.731,1
203.921,1
204.141,1
204.469,1
205.662,1
205.792,1
205.912,1
206.232,1
206.322,1
206.592,1
207.272,1
207.452,1
207.562,1
208.072,1
208.322,1
208.862,1
209.072,1
209.57,1
210.134,1
210.564,1
210.704,1
210.904,1
211.374,1
211.484,1
211.824,1
211.894,1
212.114,1
212.184,1
212.653,1
214,1
214.06,1
214.27,1
214.39,1
214.61,1
214.65,1
215.405,1
216.034,1
216.324,1
216.534,1
