onset,amplitude
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,80.04
0.44,249.93
0.45,222.87
0.46,131.73
0.47,120.66
0.48,265.21
0.49,259.96
0.5,246.73
0.51,235.8
0.52,226.77
0.53,219.27
0.54,228.27
0.55,237.27
0.56,246.27
0.57,255.27
0.58,264.27
0.59,273.28
0.6,282.28
0.61,291.28
0.62,300.28
0.63,309.28
0.64,314.84
0.65,303.9
0.66,314.39
0.67,314.04
0.68,310.6
0.69,307.92
0.7,305.49
0.71,302.59
0.72,302.06
0.73,301.2
0.74,300.61
0.75,298.15
0.76,294.35
0.77,287.99
0.78,268.2
0.79,265.52
0.8,262.84
0.81,260.15
0.82,257.47
0.83,254.79
0.84,252.11
0.85,249.43
0.86,246.75
0.87,244.07
0.88,241.39
0.89,238.7
0.9,236.02
0.91,233.34
0.92,230.66
0.93,227.98
0.94,225.3
0.95,222.62
0.96,219.94
0.97,217.26
0.98,214.57
0.99,213.77
1,218.2
1.01,217.07
1.02,212.97
1.03,210.97
1.04,204.23
1.05,200.26
1.06,196.45
1.07,194.8
1.08,193.32
1.09,192.63
1.1,191.21
1.11,189.3
1.12,185.21
1.13,183.64
1.14,187.29
1.15,187.94
1.16,187.76
1.17,187.55
1.18,189.53
1.19,189.89
1.2,162.39
1.21,94.52
1.22,128.57
1.23,153.83
1.24,107.55
1.25,154.53
1.26,246.38
1.27,92.4
1.28,109.56
1.29,212.4
1.3,178.58
1.31,64.92
1.32,114.58
1.33,210.48
1.34,207.86
1.35,200.97
1.36,201.44
1.37,204.92
1.38,206.64
1.39,206.25
1.4,203.92
1.41,200.78
1.42,197.86
1.43,200.64
1.44,208.41
1.45,202.91
1.46,198.78
1.47,195.87
1.48,193.81
1.49,193.38
1.5,193.42
1.51,193.68
1.52,193.27
1.53,193.15
1.54,194.96
1.55,195.31
1.56,195.07
1.57,194.85
1.58,194.18
1.59,193.45
1.6,193.38
1.61,193.06
1.62,191.5
1.63,189.29
1.64,187.08
1.65,204.09
1.66,269.84
1.67,325.36
1.68,308.88
1.69,292.41
1.7,275.93
1.71,259.46
1.72,242.98
1.73,226.51
1.74,219.5
1.75,221.82
1.76,215.98
1.77,210.55
1.78,207.09
1.79,204.66
1.8,197.14
1.81,187.32
1.82,186.77
1.83,197.88
1.84,206.3
1.85,187.66
1.86,184.85
1.87,141.72
1.88,56.29
1.89,82.57
1.9,178.16
1.91,248.87
1.92,223.2
1.93,218.44
1.94,216.39
1.95,212.95
1.96,206.72
1.97,199.43
1.98,195.7
1.99,194.94
2,194.18
2.01,193.42
2.02,192.66
2.03,191.9
2.04,191.14
2.05,190.38
2.06,189.62
2.07,188.86
2.08,188.61
2.09,187.59
2.1,183.94
2.11,179.42
2.12,174.83
2.13,170.94
2.14,168.97
2.15,166.18
2.16,162.69
2.17,158.5
2.18,161.37
2.19,173.21
2.2,185.04
2.21,196.88
2.22,208.72
2.23,220.56
2.24,232.4
2.25,244.24
2.26,256.08
2.27,267.92
2.28,279.76
2.29,291.6
2.3,303.44
2.31,249.82
2.32,184.89
2.33,167.18
2.34,160.46
2.35,158.92
2.36,155.82
2.37,153.16
2.38,151.53
2.39,149.4
2.4,150.38
2.41,152.61
2.42,153.96
2.43,155.05
2.44,153.27
2.45,151.92
2.46,153.26
2.47,151.22
2.48,147.55
2.49,140.64
2.5,145.77
2.51,147.21
2.52,147.37
2.53,150.52
2.54,149.95
2.55,149.37
2.56,148.79
2.57,148.22
2.58,147.64
2.59,147.07
2.6,146.49
2.61,145.91
2.62,145.34
2.63,144.76
2.64,144.18
2.65,143.61
2.66,143.03
2.67,142.46
2.68,141.88
2.69,141.3
2.7,140.73
2.71,140.15
2.72,139.57
2.73,139
2.74,138.42
2.75,137.85
2.76,137.27
2.77,136.69
2.78,136.12
2.79,135.54
2.8,134.96
2.81,134.39
2.82,133.81
2.83,133.24
2.84,132.66
2.85,132.08
2.86,131.51
2.87,130.93
2.88,130.36
2.89,129.78
2.9,129.2
2.91,128.63
2.92,128.05
2.93,127.47
2.94,126.9
2.95,126.32
2.96,125.75
2.97,125.17
2.98,124.59
2.99,124.02
3,123.44
3.01,122.86
3.02,122.29
3.03,121.71
3.04,121.14
3.05,120.56
3.06,119.98
3.07,119.41
3.08,118.83
3.09,118.26
3.1,117.68
3.11,117.1
3.12,116.53
3.13,115.95
3.14,115.37
3.15,114.8
3.16,114.22
3.17,113.65
3.18,113.07
3.19,112.49
3.2,111.92
3.21,111.34
3.22,110.76
3.23,110.19
3.24,109.61
3.25,109.04
3.26,108.46
3.27,107.88
3.28,107.31
3.29,106.73
3.3,111.8
3.31,196.98
3.32,226.82
3.33,228.76
3.34,238.12
3.35,257.42
3.36,269.79
3.37,277.42
3.38,283.42
3.39,287.45
3.4,289.54
3.41,286
3.42,273.92
3.43,263.96
3.44,255.2
3.45,246.44
3.46,237.68
3.47,228.92
3.48,220.16
