onset,amplitude
0.4803,10.2904
0.9603,2.37955
1.4203,3.65661
1.6003,8.64025
1.9303,4.97673
2.3103,5.39372
2.7703,2.10413
2.9303,6.60503
3.0203,10.2904
3.4997,6.58355
4.2238,9.84672
4.3638,8.64025
4.9438,0.113329
5.1038,7.20078
5.2938,7.53056
5.5938,6.41172
6.1938,3.73433
6.4538,7.70659
6.7338,4.26493
7.4638,2.33311
7.9226,4.21597
9.62,8.09859
9.97,7.57418
10.3,8.41743
10.64,5.43176
10.72,7.53056
11.4089,0.641854
11.7583,8.94079
12.1783,2.56341
12.4283,8.2598
12.5483,7.61781
12.6683,8.94079
12.9683,4.54266
13.2783,3.81353
13.3483,9.3568
13.4583,10.2904
13.6683,7.27683
14.1624,3.80844
15.2849,10.2904
15.6049,7.27683
15.9749,3.80844
16.2749,3.35376
16.5149,7.30671
16.6449,8.84732
16.7249,10.2904
17.1649,4.65994
17.3549,9.5021
17.8449,9.92404
18.1941,7.27683
18.733,8.94079
18.923,7.42412
19.343,5.76378
19.773,0.641854
20.093,8.3533
20.5327,5.39708
21.3561,7.51219
21.4361,8.72186
21.5161,10.642
21.7961,8.05229
22.0958,7.62024
22.5451,10.2904
22.7251,6.41172
23.2251,3.73433
23.4851,7.01072
23.6051,10.0291
23.8547,8.15608
24.8079,9.19446
24.8679,9.9394
25.0579,9.55473
25.3079,6.52623
25.7221,5.17604
26.1166,7.01072
26.2466,10.2904
26.4466,7.27683
26.9213,3.80844
27.5258,9.19446
27.6558,8.72186
27.7158,10.642
27.9158,8.72186
28.2902,8.41743
28.9538,10.5959
29.0938,7.00907
29.1638,9.92404
29.8335,-2.30259
30.2479,7.01072
30.3979,10.2904
30.5779,6.41172
31.0926,3.73433
32.0208,9.19446
32.0708,9.9394
32.1508,9.92404
32.8955,-2.30259
33.8736,8.94079
33.9736,9.10642
34.0436,9.92404
34.5436,1.29473
34.6436,7.70659
34.9536,5.50101
35.0636,10.2904
35.6136,3.20923
35.7336,9.3568
35.8236,10.2904
36.1436,1.47476
36.5236,10.2904
37.0136,1.66959
37.1236,10.2904
37.7336,1.74222
37.8036,10.2904
38.3936,2.92585
38.5136,9.5021
38.5736,10.2904
39.1772,-0.127833
39.9707,9.55473
40.0307,9.9394
40.3207,7.12387
40.9507,4.46234
41.3707,7.01072
41.4707,10.2904
41.6807,7.27683
42.1344,3.80844
43.1576,9.55473
43.5476,7.31333
43.7176,9.10642
43.8576,8.07624
44.2276,6.58355
44.2576,9.92404
44.4776,6.09312
45.1522,2.20166
46.0604,9.5021
46.1604,8.94079
46.6504,-0.462035
47.0004,6.60222
47.1204,8.07624
47.2004,10.2904
47.6004,3.65661
47.6904,9.3568
47.7804,10.2904
48.4096,-2.30259
49.2036,8.94079
49.3536,7.42412
49.5836,7.21711
50.0236,5.95314
50.3036,5.67408
50.3436,9.92404
51.0236,0.314811
51.4136,3.65661
51.8723,6.67726
53.0798,8.77112
53.5398,3.65661
53.6798,9.10642
53.9798,7.12387
54.6094,5.63382
55.0884,8.94079
55.4434,7.01072
56.1377,8.55819
56.3577,8.3775
57.0722,0.609766
57.611,10.5959
58.011,6.13835
58.151,9.57354
58.3109,8.65193
58.7602,7.01072
58.8402,10.2904
59.4549,-2.30259
60.3386,8.09859
61.0371,10.2904
61.2571,7.27683
61.6471,3.80844
61.7371,8.64025
62.4416,3.09286
63.3948,9.5021
