onset,amplitude
0.19,1
0.3,2
0.79,1
0.93,1
1.01,1
1.28,1
1.9143,2
2.5338,1
2.9238,1
3.2138,1
3.3038,1
3.4938,1
3.8938,3
4.0938,1
4.1838,1
4.9738,2
5.5738,2
5.6938,1
6.1638,7
6.9338,1
7.4038,2
7.6338,1
7.9838,1
8.0738,1
8.4214,9
9.4402,1
9.7002,1
10.1402,2
10.3902,1
10.5002,1
10.5902,1
11.0602,2
11.1802,1
11.4841,8
12.6817,1
13.1667,3
13.4761,2
13.871,4
14.5247,2
14.6647,1
14.7147,1
15.1947,2
15.5347,1
15.6047,1
16.2142,8
16.9379,1
17.4828,3
18.0221,2
18.1621,1
18.7369,4
24.7025,1
24.9525,1
25.4525,2
25.8125,1
25.9025,1
26.157,6
26.9207,2
27.1207,2
27.5307,1
27.9207,2
28.1307,1
28.3307,1
28.7299,6
29.7231,2
29.9531,1
30.2681,5
30.6674,2
30.9874,1
31.1374,2
31.677,6
32.3756,2
32.4356,1
33.3606,4
33.7948,1
34.2548,2
40.5133,3
41.0125,2
41.1025,1
41.3525,1
41.8522,2
42.6556,1
42.7556,2
43.2756,2
43.6056,1
44.0556,1
44.6751,6
45.7682,1
46.1582,2
46.3982,1
46.7082,1
46.8082,2
46.9982,1
47.3282,2
47.5382,1
47.6782,1
48.0282,1
48.2682,2
48.3882,1
48.5482,1
49.0282,2
49.1282,1
49.2182,1
49.5982,13
49.7982,1
50.8682,2
51.0082,1
51.4482,1
52.0682,3
52.1582,1
52.4982,6
52.5982,2
53.1682,3
53.2582,1
53.7082,1
54.3182,1
54.8607,5
55.8936,2
55.9236,1
56.0736,1
56.4436,1
57.0329,5
57.3174,2
57.5774,1
57.6774,1
58.4074,6
58.5074,1
58.8474,2
59.1274,1
59.5164,5
60.2899,2
60.3499,1
60.8399,1
61.0399,1
61.4743,2
61.9135,1
62.3735,1
62.4535,1
62.8435,1
62.9935,1
63.3635,1
63.5235,1
64.0135,1
64.2924,16
65.0261,1
65.1761,2
65.2361,1
65.4061,1
65.5661,1
65.9861,1
66.0961,1
66.4061,1
66.5361,1
66.7761,2
66.9761,1
67.3952,3
67.6946,1
68.0846,1
68.6346,2
69.0746,2
69.3546,1
69.5046,1
69.6246,2
69.9846,1
70.0841,4
70.7182,2
70.9882,2
71.1882,1
71.4882,1
71.9482,2
72.0682,1
72.4328,20
73.5756,2
73.7156,2
73.9556,1
74.0956,1
74.6056,6
75.4189,2
75.6689,1
75.7789,2
76.0389,1
76.5789,2
76.8089,1
76.8489,1
77.3789,2
77.4789,2
77.6589,1
77.8289,2
77.9289,1
77.9789,1
78.5181,14
79.102,1
79.332,1
79.502,2
79.832,1
79.962,1
80.032,1
80.502,2
81.0768,11
81.9953,2
82.1153,1
82.3253,1
82.6353,1
83.3153,2
83.4353,2
83.6553,1
83.7953,2
83.9353,1
84.0653,1
84.8253,3
85.0253,2
85.4053,2
85.5353,1
86.0253,2
86.4853,2
87.1326,12
87.9509,2
88.2409,1
88.2709,1
88.5509,1
88.7009,2
88.7309,1
89.0509,1
89.4409,2
90.0499,7
91.2076,1
91.6176,1
91.7776,1
91.8476,1
92.4576,5
92.5476,2
92.9676,1
93.0576,1
93.502,7
94.9053,2
95.0653,1
95.5553,2
95.7553,1
95.8453,1
96.2153,2
96.6444,6
97.4129,1
97.8479,3
98.2922,2
98.3722,1
98.8518,5
99.8049,1
100.28,3
101.144,2
101.254,1
101.504,1
101.914,1
102.558,2
102.972,2
103.312,2
103.652,1
104.162,3
104.392,1
104.572,1
105.042,9
105.72,2
105.791,1
106.101,2
106.295,4
106.764,1
107.084,2
107.344,1
107.884,1
107.994,1
108.294,5
109.716,2
109.886,1
110.171,8
110.835,1
110.915,1
111.115,1
111.53,5
112.054,2
112.114,1
112.384,1
112.889,5
113.757,2
113.817,1
113.887,1
114.381,4
114.796,1
115.136,2
115.435,4
116.409,2
116.559,1
116.829,1
117.008,1
117.253,6
117.933,2
118.013,1
118.253,1
118.673,4
118.723,2
119.243,1
119.533,1
120.176,5
120.875,2
121.155,1
121.255,1
121.355,1
121.515,1
121.709,6
122.084,2
122.154,1
122.584,4
122.983,2
123.043,1
123.243,1
123.718,5
124.781,4
125.23,2
125.27,1
125.75,4
126.08,2
126.18,1
126.39,1
126.804,4
127.493,1
127.773,1
128.043,1
128.303,3
128.493,2
128.818,1
129.551,2
129.701,1
129.891,2
130.386,3
131.106,6
131.904,2
132.074,1
132.104,1
132.344,1
132.609,5
132.983,2
133.063,1
133.528,4
134.266,2
134.396,1
134.516,2
134.696,1
134.796,2
134.866,1
135.166,1
135.466,10
136.379,2
136.439,1
136.759,1
136.909,1
137.329,6
137.808,2
137.888,1
138.128,1
138.588,4
139.332,2
139.632,1
140.082,2
140.646,5
141.969,3
142.419,2
142.489,1
142.928,2
143.357,2
143.537,1
144.097,4
144.327,1
144.457,2
144.872,7
145.475,2
145.505,1
145.755,1
146.3,5
146.989,2
147.409,2
147.779,1
148.648,5
149.037,2
149.087,1
149.237,1
149.457,1
150.037,5
150.656,1
150.736,2
151.076,1
151.236,1
151.87,9
152.804,3
153.283,2
153.373,1
153.583,1
154.008,4
154.572,2
154.632,1
154.952,1
155.122,1
155.737,7
156.361,2
156.661,1
156.901,2
157.41,5
158.359,2
158.429,1
158.889,2
159.079,2
159.149,1
159.349,1
159.639,2
160.158,8
160.767,2
160.847,1
161.297,4
161.896,2
162.316,1
162.546,1
163.266,1
163.885,8
164.683,1
165.383,1
165.868,8
166.497,2
166.607,1
166.952,4
167.356,2
167.436,1
167.876,4
168.625,1
168.795,3
169.125,2
169.215,1
169.495,2
169.825,1
169.855,1
170.155,1
170.539,2
171.024,1
171.214,1
171.244,1
171.624,1
172.074,2
172.334,1
172.574,1
173.044,7
173.314,1
173.404,2
173.594,1
173.624,1
173.884,1
174.093,6
174.642,1
174.822,2
175.132,1
175.182,1
175.332,1
175.572,2
175.957,6
176.735,1
177.035,3
177.185,2
177.255,1
177.535,2
177.565,1
178.095,2
178.594,2
178.784,1
178.824,1
179.224,1
179.584,2
179.754,1
180.344,6
181.147,1
181.267,1
181.367,2
181.807,1
182.127,5
182.526,2
182.696,1
182.936,1
183.236,1
183.491,6
184.154,1
184.544,3
185.023,2
185.093,1
185.283,1
185.763,1
185.853,1
185.963,1
186.503,1
186.973,8
187.532,1
187.857,3
188.291,2
188.381,1
188.461,1
188.932,1
189.032,1
189.102,1
189.572,1
189.986,7
190.949,2
191.039,1
191.439,1
191.569,1
192.399,7
192.758,2
192.838,1
193.098,1
193.533,6
194.321,2
194.361,1
194.421,1
195.401,4
195.541,2
195.791,1
195.951,2
196.071,1
196.461,1
196.695,8
197.568,2
197.598,1
198.108,4
198.607,2
198.687,1
199.122,4
199.926,1
200.346,3
200.446,2
200.716,1
200.886,1
201.306,2
201.406,1
201.9,7
202.844,2
203.024,1
203.214,2
203.254,1
203.454,1
203.604,1
204.128,7
204.603,1
204.713,1
204.933,1
205.427,5
206.201,1
206.631,2
206.901,1
207.191,1
207.77,2
208.369,2
208.679,1
209.289,6
211.36,2
211.47,2
212.15,1
212.32,1
212.53,1
213.145,6
214.238,3
215.226,2
215.346,1
216.081,5
217.169,1
218.218,4
219.292,3
220.959,2
221.059,1
221.733,4
222.273,2
222.363,1
222.862,4
223.78,1
223.86,1
224.27,2
224.52,1
224.77,2
224.88,1
225.05,1
225.49,6
226.862,1
227.222,2
227.382,1
227.632,1
228.402,5
228.946,2
229.266,1
229.785,3
230.215,1
230.525,2
230.74,5
231.683,1
231.813,1
232.253,2
232.383,1
232.783,4
233.197,1
233.407,1
233.477,1
233.797,2
233.997,1
234.337,6
234.927,1
234.967,2
235.147,1
235.197,1
235.487,2
235.915,5
236.599,1
236.769,1
236.919,2
237.439,1
237.728,5
238.417,2
238.567,1
238.777,1
239.027,1
239.647,2
239.857,1
240.027,1
240.442,7
241.151,2
241.201,1
241.451,1
241.611,1
241.791,1
241.841,1
242.241,2
242.311,1
243.031,4
243.481,1
243.781,1
244.074,10
245.108,1
245.768,2
246.038,1
246.178,2
246.708,1
247.018,1
247.707,7
248.751,2
248.841,1
249.181,1
249.341,2
249.511,2
249.611,1
249.761,1
250.221,2
250.491,1
251.06,9
251.719,1
251.869,2
252.229,2
252.773,2
252.983,1
253.073,1
253.403,1
253.823,2
254.083,1
254.352,6
255.031,2
255.241,1
255.301,1
255.461,1
255.806,6
256.415,2
256.535,1
256.635,1
256.785,1
257.145,2
257.275,1
257.459,8
258.078,1
258.308,1
258.718,2
258.898,1
259.238,2
259.388,1
259.573,6
260.057,1
260.237,2
260.357,1
260.812,5
261.665,1
261.895,1
262.365,2
262.535,1
262.595,1
262.915,2
263.085,1
263.559,7
264.259,1
264.379,2
264.479,1
264.659,1
265.349,2
265.489,2
265.599,2
266.109,1
266.308,10
266.812,1
267.292,2
267.611,2
267.831,1
268.346,6
268.8,1
269.19,1
269.34,2
269.42,1
269.71,7
270.539,1
270.629,2
270.739,1
271.109,1
271.329,1
271.769,2
271.869,1
271.929,1
272.359,2
272.749,1
272.929,1
273.019,1
273.393,10
274.76,1
275.18,2
275.42,1
276.02,1
276.14,1
276.65,2
276.75,1
276.82,1
277.07,1
277.49,2
277.63,1
277.7,1
278.02,1
278.499,9
279.787,2
280.591,1
280.836,6
281.355,2
281.74,4
282.773,2
283.113,2
283.333,1
283.733,4
284.022,1
284.242,1
284.632,2
285.092,4
285.762,1
285.862,2
286.092,1
286.152,1
286.312,1
286.642,1
287.115,7
287.674,2
287.874,1
288.284,1
288.364,1
288.934,5
289.094,1
289.364,1
289.744,1
289.834,1
290.604,9
291.796,2
292.266,2
293.256,1
293.326,1
293.836,2
293.996,1
294.226,2
295.106,6
295.336,2
295.406,1
295.895,4
296.904,2
297.064,1
297.464,2
297.744,1
297.824,1
298.264,1
298.374,1
298.544,1
298.644,1
298.844,1
299.323,12
299.942,2
300.242,1
300.642,2
300.902,2
301.222,1
301.292,1
301.362,1
301.886,9
302.564,1
302.735,1
302.925,2
303.084,1
303.135,1
303.314,1
303.704,2
303.885,2
304.115,1
304.724,9
305.328,2
305.498,1
305.838,2
306.088,1
306.278,1
306.873,5
307.736,1
307.796,2
308.016,1
308.056,1
308.626,5
309.595,1
309.815,5
311.167,2
311.357,1
311.467,2
311.817,5
312.526,1
312.596,1
312.846,1
313.275,5
314.273,2
314.473,1
314.643,1
314.773,1
315.093,1
315.782,7
316.357,2
316.437,1
316.921,4
318.17,2
318.24,2
318.3,1
318.53,1
318.84,2
318.88,1
319.2,1
319.36,2
319.57,1
319.77,1
319.91,4
320.22,1
320.62,3
320.68,1
320.9,1
321.414,7
322.248,2
322.338,1
322.618,1
322.688,2
322.878,2
322.938,1
323.018,1
323.388,2
323.498,1
323.818,1
324.077,8
324.411,1
324.571,2
324.731,1
324.771,1
324.941,1
325.466,7
326.314,2
326.405,1
326.454,1
326.825,2
326.925,1
328.069,7
328.963,1
329.293,1
329.757,2
330.107,2
330.197,1
330.307,1
330.587,1
330.677,1
330.927,1
330.967,1
331.207,2
331.686,9
333.093,1
333.453,1
333.653,2
333.743,1
333.963,1
334.363,3
334.643,1
335.003,6
336.04,2
336.22,1
336.47,1
336.74,2
336.86,1
337.14,1
337.37,2
337.45,1
337.54,1
338.01,1
338.33,2
338.51,1
338.834,12
339.323,2
339.403,1
339.838,4
340.782,1
340.882,2
341.252,1
341.432,1
341.912,3
342.052,1
342.362,1
342.712,3
342.792,1
342.902,1
343.566,3
344.185,1
344.535,1
344.955,6
345.035,2
345.125,1
345.405,1
345.495,1
345.685,1
346.104,9
346.848,1
346.938,1
347.328,2
347.538,1
347.858,5
347.958,2
348.388,1
348.638,1
349.148,1
349.308,1
349.847,7
350.661,2
350.841,1
351.131,1
351.591,3
351.661,2
351.731,1
351.901,1
352.361,1
352.781,2
352.921,1
353.121,1
353.85,7
354.419,2
354.479,1
354.899,1
355.019,1
355.319,1
355.399,1
356.039,2
356.139,1
356.838,12
357.611,1
357.741,1
357.831,2
358.111,1
358.191,1
358.491,1
358.741,1
359.211,6
359.675,4
359.905,2
359.995,1
360.075,1
360.425,1
360.735,3
