onset,amplitude
0.1303,2
0.5752,3
1.0894,2
1.1694,2
1.4194,1
1.8741,2
2.7574,2
3.2023,3
3.6018,2
3.7118,2
4.2115,2
5.2197,3
5.3797,2
5.4297,2
5.9397,2
6.0397,3
6.4797,2
6.9597,3
7.0897,3
7.2197,2
7.3697,2
7.9797,2
8.1197,2
8.6097,2
9.1583,6
9.6673,3
10.1673,2
10.4173,2
10.6573,1
10.7273,2
11.5073,2
11.5973,1
11.7173,3
11.8673,2
12.2073,1
12.5073,2
12.5773,2
12.8873,2
12.9773,2
13.2573,2
13.7006,3
14.7086,3
14.7486,2
15.0086,2
15.3886,2
15.9286,3
16.5377,2
16.6377,2
16.8477,1
17.3226,3
17.9914,3
18.0314,2
18.0914,2
18.2814,1
18.5814,1
18.9812,2
19.4505,2
19.5405,2
20.3905,2
20.9505,3
21.0605,2
21.3005,2
22.2388,3
22.718,3
23.028,2
23.638,2
24.058,2
24.218,2
24.5421,3
25.7099,2
25.8999,2
25.9899,2
26.1599,2
26.3599,2
26.5699,2
26.6599,2
27.2599,1
27.7439,2
28.5374,3
28.6674,2
28.7874,2
29.1274,3
29.2174,3
29.4774,2
29.5974,2
29.7619,4
31.6892,3
32.0036,2
32.2336,1
32.5736,1
32.7836,2
32.8936,2
33.4181,3
34.0719,2
34.2819,3
34.5319,2
35.1619,2
35.5619,1
35.6419,2
35.9919,2
36.1119,2
36.2819,3
36.6913,4
37.3951,2
37.4651,2
37.7851,2
38.1351,2
38.6651,1
38.9251,2
38.9551,2
39.3051,2
39.4351,2
39.8051,2
40.2394,2
41.5494,3
41.7294,2
41.9594,2
42.1194,2
42.5094,1
42.7694,2
43.0994,2
43.2394,2
43.8394,2
43.9194,2
44.0194,2
44.5582,2
44.9926,1
45.1026,3
45.1926,2
45.6026,2
45.7126,2
45.7726,2
46.2326,2
46.3426,2
46.4126,2
47.0526,1
47.1826,2
47.2826,3
47.6726,2
47.7826,2
48.1626,1
48.3726,2
48.4826,2
48.6326,2
48.9326,1
49.4111,2
51.4133,4
51.5733,2
51.8233,2
51.9433,2
52.0433,2
52.2833,1
52.7679,1
53.6263,2
54.0863,2
54.1663,2
54.5163,3
54.5463,2
54.8663,2
55.3911,2
55.9201,1
56.0601,3
56.3501,2
56.3801,1
56.7801,2
56.8801,2
57.2001,2
57.3801,2
57.7301,1
58.0296,3
58.5784,3
58.7384,2
59.0684,2
59.3384,2
59.4284,2
59.8281,4
60.5568,1
60.7468,3
61.0568,2
61.2668,2
61.4368,2
61.8568,2
62.0268,2
62.1668,3
62.3968,2
62.6968,2
63.2968,2
63.6768,2
63.7268,2
64.0868,2
64.2068,2
64.5568,2
64.9902,2
66.2227,3
66.6027,2
66.7127,2
67.3727,2
67.5927,3
67.8527,2
68.0027,2
68.2468,3
68.9354,2
69.1354,2
69.5402,2
70.1691,2
70.8691,2
71.0891,2
71.5791,2
71.6991,2
71.9191,2
72.0591,2
72.1391,2
72.5291,1
72.9136,4
73.787,2
74.2368,3
75.2302,2
75.3502,3
75.5002,3
75.8302,2
75.9002,2
76.5749,3
77.423,3
77.653,2
77.733,1
78.083,2
78.293,2
78.823,2
79.133,1
79.243,3
79.673,2
79.9124,2
80.7458,3
80.8058,2
81.1058,2
81.2158,2
81.3158,2
81.5558,2
81.5958,2
82.0604,2
82.6296,2
82.7696,1
82.8696,3
82.9396,2
83.1696,2
83.3196,2
83.7145,4
85.4427,3
85.6027,3
85.6627,2
85.9727,2
86.0927,2
86.1927,2
86.4427,2
86.4727,2
86.9027,2
87.0027,2
87.0527,2
87.5414,2
88.5193,3
88.7793,2
89.3093,2
89.3793,2
90.0093,2
90.1593,2
90.3893,2
90.4993,2
91.0536,3
91.6724,3
91.7324,2
92.0124,2
92.1724,2
92.7024,2
92.8224,1
93.4221,2
93.8912,2
94.1612,1
94.8112,2
94.9612,2
95.1012,3
95.2312,3
95.6959,4
96.6341,2
96.7441,2
97.0841,2
97.1841,2
97.3541,3
97.4741,1
97.8641,2
97.9841,2
98.1341,2
98.6335,2
99.2573,3
99.3373,2
99.6773,2
100.222,3
100.841,2
100.931,2
101.101,2
101.251,2
101.291,2
101.671,2
102.749,3
103.009,2
103.059,2
103.629,2
103.749,2
104.393,3
105.018,3
105.058,2
105.508,2
105.728,2
105.938,2
106.078,2
106.118,2
106.528,1
106.708,2
107.188,2
107.318,2
107.398,2
108.018,2
108.098,2
108.198,2
108.656,3
109.644,2
109.774,2
110.224,2
110.584,2
111.039,4
112.671,3
112.801,3
112.921,2
113.271,2
113.491,2
113.991,3
114.121,2
114.951,3
115.321,2
115.69,3
116.074,1
116.134,2
116.634,2
116.954,2
117.034,2
117.284,2
117.604,4
118.383,3
118.683,2
118.873,2
119.013,2
119.163,2
119.253,1
119.323,2
119.857,2
120.232,2
120.402,2
120.772,2
120.892,2
121.152,2
121.282,3
121.946,3
122.984,2
123.244,1
123.624,2
123.804,2
124.314,3
124.734,2
124.824,2
124.954,2
125.419,3
126.267,2
126.497,2
126.597,2
126.937,2
127.502,3
127.871,3
128.221,2
128.421,3
129.175,2
129.285,2
129.485,2
129.535,1
129.915,2
130.075,2
130.205,2
130.784,2
131.493,3
131.813,2
132.378,2
133.301,3
133.511,2
133.621,2
133.831,2
133.991,2
134.081,2
134.451,1
134.86,3
135.938,3
136.218,2
136.268,1
136.918,2
137.088,2
137.583,2
137.943,1
138.073,3
138.342,2
138.822,3
139.451,3
139.731,2
140.071,2
140.211,1
140.291,2
140.611,2
140.741,2
141.465,3
142.358,3
142.538,2
142.963,3
143.497,3
143.787,2
144.142,3
144.94,3
145.21,2
145.43,2
145.82,2
146.035,3
147.043,2
147.443,2
147.483,2
148.043,1
148.143,3
148.493,2
148.913,2
150.255,2
150.785,2
150.845,2
151.435,2
151.785,2
151.875,1
151.955,2
152.425,2
152.595,3
152.865,2
152.895,1
153.035,2
153.499,4
154.402,3
154.937,2
155.69,3
155.75,2
156.08,3
156.948,2
157.048,2
157.688,2
158.088,2
158.458,2
159.152,3
159.517,2
159.597,2
160.117,2
160.197,2
160.677,2
160.757,2
160.837,2
161.471,2
162.459,2
162.879,2
163.019,2
163.543,3
164.137,2
164.377,1
164.807,1
165.187,3
166.195,2
166.255,2
166.465,2
166.82,3
167.229,3
167.389,2
167.789,2
168.109,2
168.199,2
168.683,2
169.686,3
170.016,2
170.296,2
170.396,2
170.446,2
170.856,1
171.151,2
171.595,3
171.835,2
172.33,3
172.904,3
173.274,2
173.733,3
174.717,2
174.967,3
175.677,2
176.517,2
176.957,2
177.047,2
177.137,2
177.861,2
179.343,3
179.733,2
179.823,2
180.323,2
180.987,2
181.521,3
181.651,2
181.901,1
182.416,2
183.095,2
183.305,2
183.975,2
184.125,2
184.465,2
184.525,2
184.909,3
186.591,3
186.781,2
187.421,2
187.511,2
188.071,3
188.821,1
189.071,2
189.851,1
190.481,2
190.571,2
190.651,2
191.26,3
192.542,3
192.672,3
192.872,2
192.922,2
193.212,1
193.592,2
193.912,2
194.202,2
194.402,2
194.482,2
194.732,1
195.366,2
195.916,1
196.476,3
196.886,2
197.036,2
197.076,2
197.566,2
197.786,2
198.176,2
198.4,3
199.149,2
199.739,3
199.949,2
200.089,2
200.269,2
200.489,2
200.639,2
200.899,2
200.989,2
201.359,2
201.508,3
202.122,1
202.712,3
202.992,2
203.142,1
203.302,2
203.522,2
203.842,2
203.972,2
204.181,3
205.135,2
205.275,2
205.734,2
205.805,2
206.675,1
206.775,2
207.114,2
207.653,2
208.412,2
208.862,2
209.062,2
209.432,2
209.512,2
210.152,1
210.272,2
210.332,2
210.862,2
210.942,2
211.132,2
211.521,2
212.864,3
213.238,2
213.478,2
213.598,2
213.698,2
213.928,1
214.398,2
215.426,2
215.566,2
216.181,2
216.445,2
217.035,1
217.165,1
217.245,2
217.75,2
218.464,3
218.724,2
218.884,2
219.114,2
219.584,3
219.684,2
220.044,3
220.673,3
221.88,3
221.94,2
222.32,3
222.64,3
223.035,3
223.504,2
223.614,3
223.944,2
224.074,2
224.224,2
224.784,2
226.545,2
226.625,2
226.905,1
227.345,2
227.495,2
228.315,3
228.405,2
228.655,2
228.775,2
228.895,2
229.075,2
229.575,2
229.715,1
229.955,2
230.215,2
230.545,2
230.954,4
231.782,3
232.182,2
232.642,3
233.141,2
234.01,3
234.37,2
234.48,2
234.65,2
234.79,2
234.88,3
235.11,2
235.62,2
235.7,2
236.05,2
236.79,1
237.349,2
238.148,3
238.518,2
238.928,2
239.018,2
239.218,2
239.358,2
239.498,3
239.668,2
240.228,2
240.468,2
241.038,1
241.198,2
241.582,3
242.929,3
243.299,2
243.439,2
243.519,2
244.149,2
244.259,2
244.459,2
244.869,1
245.463,2
245.888,2
246.438,1
246.877,1
247.406,2
247.826,2
247.936,2
248.236,2
248.426,3
248.986,2
249.096,2
249.196,2
249.596,3
250.25,1
250.36,3
250.66,2
250.8,2
251.39,2
252.283,3
252.463,3
252.783,2
253.103,3
253.263,2
253.593,2
253.633,2
254.088,2
254.816,3
255.136,3
255.256,2
255.676,2
256.296,3
256.426,2
256.985,3
258.373,2
258.533,2
259.063,2
259.613,1
260.053,2
260.363,2
260.533,2
260.703,2
260.813,2
261.603,1
261.693,3
262.382,2
263.345,3
263.484,3
263.914,2
264.175,2
264.614,1
265.044,2
265.385,2
265.654,2
265.925,1
266.505,1
267.093,3
267.682,2
267.862,2
268.412,2
268.552,2
268.632,2
269.097,2
270.085,3
270.165,2
270.335,2
270.735,2
271.015,2
271.105,2
271.455,2
271.635,3
272.115,2
272.195,2
272.405,2
272.665,2
272.765,2
273.145,2
273.265,2
273.305,2
273.895,3
274.185,2
274.345,2
274.445,3
274.575,2
275.043,5
276.126,2
276.216,2
276.556,2
276.686,2
277.026,2
277.116,2
277.296,2
277.446,2
277.706,1
278.016,2
278.626,4
280.108,3
280.438,2
280.558,2
280.758,2
281.118,2
281.747,4
282.171,2
282.601,2
282.731,2
283.071,3
283.271,2
283.471,2
283.631,2
283.995,2
284.964,1
285.634,2
285.784,2
