onset,amplitude
0.6152,0
1.0452,0
1.4252,0
1.5252,0.16122
1.6152,0
1.9751,0
2.5192,0
2.9192,0
3.0392,0
3.2292,0
3.5892,0
4.0792,0
4.5539,8.5511
5.6168,0
5.7468,0
6.0868,0
6.3668,5.6191
6.5468,0
6.6968,0
7.1068,0
7.2068,0
7.5768,0
7.9609,0
8.5599,0
8.8099,0
9.0199,0
9.0799,0
9.6999,0
9.8799,0
10.1499,0
10.6299,0
10.9399,0
11.1399,0
11.3299,3.8793
11.4499,9.4223
11.6989,1.331
12.2681,0
12.5381,0
12.9481,0
13.4177,0
14.2262,0
14.3662,0
14.6262,0
14.8062,0
15.2512,0
15.9449,0
16.0049,0
16.0949,0
16.5549,0
16.9499,0
17.514,0
17.824,0
17.854,0
18.024,0
18.444,0
18.9682,0
20.0864,0
20.5164,0
20.7464,0
20.8464,0
21.2664,0
21.4864,0
21.8364,0
21.9464,0
22.5058,0
23.5195,0
23.7795,0
23.9095,0
23.9895,0
24.0695,0
24.3994,0
25.0139,0
25.5183,0
25.8083,0
26.0383,0
26.0783,0
26.1983,0
26.4483,0
27.1773,0
28.5044,0
29.1344,0
29.3144,0
29.6844,0
29.9244,0
30.0644,0
30.389,0
31.0876,0
31.4376,0
31.6776,0
31.7376,0
32.0976,0
32.2576,0
32.4776,0
33.0376,0
33.6476,0
33.7776,0
34.0276,0
34.4776,0
34.9376,0
35.3757,0
36.1194,0
36.2394,0
36.5841,0
37.0133,0
37.0733,0
37.2933,0
37.4433,0
37.6133,0
38.0533,0
38.3633,0
38.4733,0
38.5633,0
39.0728,7.2548
39.6068,0
39.8668,0
40.0768,0
40.2668,0.86633
40.5768,0
40.8168,0
40.9968,0
41.2563,0
41.6354,0
41.7354,0
41.9354,0
42.0654,0
42.6751,0
43.7477,0
44.0277,0
44.4077,0
44.8677,0
45.0577,0
45.1377,0
45.5326,0
45.9719,0
46.0719,0
46.4519,0
46.6919,0
47.2117,0
48.0998,0
48.3798,0
48.7598,0
49.1298,0
49.4198,0
49.7798,0
49.8098,0
50.344,0
51.1124,0
51.2324,0
51.6024,0
51.8124,0
52.4116,0
53.2299,0
53.3699,0
53.6799,0
53.8499,0
53.9999,0
54.0299,0
54.2899,0
54.4099,0
54.7999,0
55.0599,0
55.4396,0
56.4524,0
57.0473,0
57.756,0
58.196,0
58.606,0
58.646,0
59.0251,0
59.7237,0
59.8337,0
60.2337,0
60.4637,0
60.5337,0
61.2684,0
62.4211,0
62.5811,0
63.1359,4.8267
63.585,0
63.9999,0
64.5237,0
64.7737,0
64.8437,0
65.0637,0
65.3737,4.0658
65.5437,9.7352
65.8435,0
67.2158,0
67.6558,0
68.0058,0
68.2358,0
68.5958,3.4579
68.6958,-0.34131
68.7558,0
69.1758,0
69.2958,0
69.3558,0
69.6156,0
70.0498,0
70.1498,0
70.6198,0
70.9393,0
71.8082,0
72.2882,0
72.8182,0
72.9782,0
73.2482,0
73.8882,0
74.1082,0
74.2682,0
74.4082,0
74.6482,0
75.0782,0
75.6982,0
75.8582,0
76.0582,0
76.3582,0
76.5582,0
76.7082,0
77.1882,0
77.8682,0
78.311,0
79.4695,0
79.6195,1.2398
79.7595,0
80.1195,0
80.5395,0
80.6295,0
80.7895,0
81.2195,0
81.3095,0
81.6395,0
81.7895,2.5111
81.9895,0
82.5932,0
83.0423,0
83.3123,0
83.3923,0
83.8523,0
84.2072,0
84.7764,3.6964
85.7046,0
85.8846,0
86.0146,0
86.3846,0
86.5446,0
86.9144,0
87.3335,0
87.7735,0
87.9935,0
88.5435,0
88.8135,0
89.3635,0
89.7835,0
89.8635,0
90.4329,0
90.9922,0
91.0822,0
91.5622,0
92.0622,0
92.1322,0
92.2022,0
92.7566,0
93.4504,0
93.5904,0
93.8004,0
94.3904,0
94.7353,0
95.5794,0
95.9494,0
96.0194,0
96.5994,0
96.7394,0
96.7994,0
97.1594,0
97.7694,0
98.2681,0
99.4311,0
99.8411,0
99.9411,0
100.251,0
100.631,0
100.761,0
101.061,9.0559
101.161,5.2754
101.571,0
101.741,0
101.971,0
102.351,5.0862
102.451,0
102.621,0
103.18,0
103.43,0
103.66,0
103.92,0
104.12,0
104.504,0
105.432,0
105.512,0
105.762,0
105.943,3.8837
106.197,0
106.842,0
106.962,0
107.052,0
107.442,0
107.582,0
108.181,0
109.314,0
109.384,0
109.874,0
109.954,0
110.444,0
110.854,0
110.994,0
111.134,0
111.614,0
111.863,0
112.442,0
112.512,0
113.032,0
113.252,0
113.812,0
113.922,0
114.142,0
114.342,0
114.762,0
115.566,0
115.966,0
116.45,0
116.72,0
116.78,0
117.04,0
117.34,0
117.44,0
117.83,0
118.099,0
119.097,0
119.427,0
119.487,5.1583
119.617,0
120.177,0
120.287,0
120.477,0
120.627,0
120.997,0
121.277,0
121.447,0
121.871,0
122.555,0
122.845,0
123.045,0
123.515,0
123.805,0
124.015,0
124.105,0
124.455,0
124.525,0
124.595,0
125.205,0
125.725,0
125.865,0
126.195,0
126.325,0
126.405,0
126.873,0
127.572,0
127.832,0
127.982,0
128.242,0
129.045,0
129.125,0
129.435,0
129.645,0
129.725,0
129.785,0
130.065,0
130.205,0
130.395,0
130.565,0
130.675,0
130.835,0
131.27,0
131.913,0
132.083,0
132.143,0
132.273,0
132.503,0
132.613,0
132.803,0
133.173,4.6682
133.448,0
134.276,0
134.426,0
134.526,0
134.842,0
135.665,0
135.885,0
136.125,0
136.455,0
136.555,2.9215
136.875,0
137.085,0
137.475,0
137.945,0
138.165,0
138.645,14.202
138.825,0
138.995,0
139.225,0
139.355,0
140.033,0
140.991,0
141.241,0
141.501,0
141.781,0
141.911,0.047552
142.051,0
142.611,0
143.14,0
143.28,0
143.685,0
144.418,0
144.508,0
144.859,0
145.189,0
145.479,4.6682
145.678,0
146.098,3.076
147.111,0
147.241,0
147.541,0
148.066,0
148.795,0
148.845,0
148.885,0
149.185,4.3121
149.754,0
150.333,0
150.363,0
150.673,0
150.883,0
151.593,0
153,0
153.36,0
153.77,0
154.32,0
154.49,0
154.93,0
155.71,0
155.89,0
156.374,0
157.197,0
157.577,0
157.787,0
158.287,0
158.447,0
158.677,0
159.007,0
159.197,0
159.227,0
159.617,0
160.167,0
160.756,0
160.936,0
161.066,0
161.416,0
161.576,0
161.726,0
161.836,0
161.956,0
162.176,0
162.706,0
163.046,0
163.296,0
163.376,0
163.875,0
164.494,0
164.614,0
164.774,0
164.954,0
165.104,0
165.564,0
165.684,0
166.144,0
166.388,0
167.661,0
167.891,0
167.941,0
168.661,0
169.201,0
169.361,0
169.551,0
169.961,0
170.301,0
170.705,0
171.752,0
171.962,0
172.152,0
172.642,0
173.351,0
173.461,0
173.731,0
173.811,0
174.261,0
174.381,0
174.471,0
174.9,0
175.469,0
175.579,0
175.899,0
176.059,0
176.479,0
177.362,0
177.452,0
178.062,0
178.611,0
179.889,0
180.499,0
180.559,0
180.799,0
181.214,0
181.892,0
182.072,0
182.452,0
182.592,0
182.712,0
182.892,0
183.272,0
183.862,0
183.982,0
184.417,0
185.345,0
185.635,0
186.1,5.0862
186.494,0
186.754,0
186.884,0
187.134,0
187.723,0
187.843,0
188.443,0
189.405,0
189.675,0
190.055,0
190.145,0
190.61,5.6988
191.179,0
191.349,0
191.789,0
192.353,0
193.162,0
193.222,0
193.362,0
193.672,0
193.932,0
194.272,0
194.562,0
194.986,0
196.624,0
196.884,0
197.244,0
197.874,0
198.474,0
198.644,0
198.724,0
199.214,0
199.294,0
199.784,0
200.512,0
201.541,0
201.641,0
202.041,0
202.27,0
202.35,0
202.77,0
202.801,0
203.181,0
203.391,0
203.711,2.7493
203.931,0
204.31,0
204.761,0
205.03,0
205.461,0
205.919,0
207.012,0
207.417,0
207.981,0
208.141,0
208.381,0
208.421,0
208.811,0
208.961,0
209.401,0
209.771,5.8806
209.881,0
209.951,0
210.515,0
211.883,0
212.322,5.0862
212.832,0
213.186,0
213.825,0
214.065,0
214.165,0
214.405,0
214.585,0
214.935,0
215.31,0
216.328,0
216.448,0
216.728,0
216.908,0
217.163,0
218.371,0
218.491,0
218.571,0
218.721,0
218.881,0
219.236,0
219.994,0
220.344,0
220.504,0
220.664,0
220.994,0
221.334,0
221.424,0
221.854,0
222.074,0
222.134,0
222.524,0
222.794,4.0658
222.954,0
223.224,0
223.324,0
223.564,0
223.918,0
225.245,0
225.735,5.0862
226.399,0
226.659,0
226.779,0
226.919,0
227.279,0
227.679,0
228.218,0
228.678,0
228.818,0
228.898,0
229.458,0
229.608,0
229.708,0
230.068,0
230.468,0
230.558,0
230.618,0
231.072,0
232.12,0
232.22,0
232.44,0
232.52,0
232.85,0
232.98,0
233.53,0
234.547,0
234.807,0
234.917,0
235.187,0
236.42,0
236.58,0
236.71,0
237.36,0
237.69,0
237.73,0
237.87,0
238.329,0
239.232,0
239.567,0
240.615,0
240.675,0
240.945,0
241.085,0
241.185,0
241.765,0
242.473,0
242.563,0
242.903,0
242.973,0
243.483,0
243.673,0
243.733,0
243.843,0
243.903,0
244.453,0
244.932,0
245.042,0
245.362,0
245.452,0
245.722,0
245.822,5.1583
245.902,0
246.302,0
246.512,0
246.961,0
247.775,0
247.865,2.2052
248.425,0
248.455,0
248.885,0
249.015,0
249.645,0
250.608,0
250.922,0
251.891,0
251.961,0
252.191,0
252.331,0
252.421,0
252.99,0
253.659,0
253.949,0
254.149,0
254.429,0
254.569,0
254.669,0
255.029,0
255.189,0
255.439,0
256.229,0
256.599,0
256.679,1.8313
256.789,0
257.299,0
257.429,0
257.569,0
257.932,0
258.546,0
259.161,0
259.809,0
260.029,0
260.354,0
261.502,0
261.807,0
263.014,0
263.384,0
263.474,0
263.554,0
263.754,0
263.834,5.1583
263.934,0
264.574,0
265.308,0
265.528,0
265.868,0
266.368,0
266.588,0
266.818,0
267.268,0
267.438,0
267.578,0
267.698,0
268.148,0
268.358,4.4122
268.498,0
268.678,0
268.858,0
269.078,0
269.538,0
269.816,0
270.42,0
270.45,0
270.76,0
271.08,0
271.454,0
272.288,0
272.628,0
272.788,0
272.958,0
273.138,-1.3728
273.418,1.8995
273.908,0
274.148,0
274.298,0
274.378,0
274.927,0
275.581,0
275.741,0
275.831,0
276.111,0
276.231,0
276.421,0
276.631,5.1583
276.771,3.6379
276.941,-0.30179
277.051,0
277.68,0
278.209,0
278.379,0
278.449,0
278.589,0
278.829,0
279.409,0
280.042,0
280.622,0
281.156,0
281.256,0
281.516,0
281.676,3.4381
281.936,0
282.036,0
282.086,0
282.721,0
283.669,0
284.129,0
284.528,0
285.616,0
285.946,0
286.411,5.0862
286.94,0
287.19,0
287.67,0
288.264,0
288.684,0
288.824,0
289.034,0
289.264,0
289.694,0
290.872,0
290.952,0
291.092,0
291.721,0
292.465,0
292.735,0
293.723,0
293.783,0
293.993,0
294.283,0
294.513,0
294.653,0
295.058,0
296.215,0
296.245,0
296.395,0
296.715,0
296.805,0
297.22,0
298.952,0
299.352,0
299.472,0
299.892,0
300.637,0
301.106,0
301.256,0
301.286,0
301.576,0
301.686,0
302.126,0
302.276,0
302.89,0
303.858,0
304.378,0
304.518,0
304.588,0
305.323,0
305.662,0
306.162,0
306.212,0
306.877,0
307.596,0
308.121,0
308.664,0
308.694,0
309.135,0
309.305,0
309.664,0
310.149,0
311.068,0
311.498,0
311.627,0
311.658,0
312.408,0
312.517,0
312.587,0
313.337,0
313.946,0
314.126,0
314.996,0
315.106,0
315.296,0
315.705,0
316.579,0
316.849,0
317.029,0
317.259,0
317.649,0
317.949,0
318.409,0
318.908,0
320.211,0
320.421,0
320.801,0
320.871,0
321.401,0
321.581,0
321.811,0
321.981,0
322.311,0
322.651,0
322.87,0
324.048,0
324.088,0
324.188,0
324.488,0
324.578,0
324.978,0
326.699,0
326.939,0
327.189,0
327.289,5.1583
327.379,0
327.819,0
327.919,0
328.359,0
329.133,0
329.313,0
329.423,0
329.533,0
329.943,0
330.253,0
330.373,1.1184
330.563,0
330.783,0
331.437,0
331.507,0
331.697,0
331.887,0
332.397,0
332.647,0
332.817,0
332.947,0
333.196,0
333.815,0
334.27,1.8995
334.779,0
334.899,0
335.129,0
335.459,0
335.759,0
335.879,2.2052
336.359,0
336.479,0
337.003,0
337.927,0
338.766,0
339.251,0
339.874,0
340.074,0
340.614,0
340.744,0
340.975,0
341.464,0
342.452,0
342.592,0
343.042,0
343.477,0
344.929,0
345.119,0
345.289,0
345.749,0
345.949,0
346.663,0
347.392,0
347.802,0
348.002,0
348.527,0
349.141,0
349.201,0
349.321,0
349.661,0
349.821,0
350.111,0
350.211,0
350.421,0
351.254,0
351.384,0
351.754,0
351.884,0
352.094,0
352.574,0
353.343,0
353.443,0
353.683,0
353.763,0
354.153,0
354.323,0
354.562,0
355.436,0
356.096,0
356.166,0
356.246,0
356.546,0
356.776,0
357.196,0
357.656,0
357.936,0
358.266,5.7586
358.406,0
358.824,2.8424
359.483,0
359.603,0
360.103,0
360.203,0
360.353,0
360.683,0
361.273,0
361.333,0
361.643,0
361.783,0
362.393,0
362.843,0
363.193,0
363.303,0
363.822,0
364.72,0
364.88,0
364.95,0
365.21,0
365.445,0
366.574,0
366.918,0
367.418,0
367.948,0
368.168,0
368.388,0
368.758,0
369.391,0
369.461,0
369.521,0
369.841,0
369.901,0
369.961,0
370.591,0
371.18,0
371.32,0
371.45,0
371.77,0
371.81,0
372.25,0
372.59,0
372.76,0
372.969,0
373.902,0
374.012,0
374.462,0
374.877,0
376.19,0
376.42,0
376.55,0
376.72,0
376.84,0
376.92,0
377.28,0
377.47,0
377.94,0
378.02,5.476
378.704,0
379.493,0
379.683,0
379.993,0
380.143,0
380.413,0
380.903,0
381.083,0
381.233,0
381.757,0
382.536,0
382.666,0
383.076,0
383.376,0
383.66,0
385.193,0
385.383,0
385.893,0
386.293,0
386.883,0
387.332,0
388.87,0
389.698,0
389.993,3.9806
390.986,0
391.016,0
391.391,0
392.644,0
392.734,0
392.784,0
393.024,0
393.234,0
394.481,0
394.611,0
394.931,0
395.061,0
395.241,0
395.341,0
395.411,0
396.07,0
396.829,0
396.949,0
397.169,0
397.229,0
397.509,0
397.629,0
397.769,0
397.889,0
397.949,0
398.503,0
399.102,0
399.162,0
399.482,0
399.807,0
400.69,0
400.72,0
400.96,0
401.07,2.9215
401.37,0
401.73,2.5994
402.129,0
402.169,0
402.419,0
402.749,0
402.989,0
404.286,0
404.386,0
404.416,0
404.726,0
404.926,0
406.034,0
406.144,0
406.344,0
406.779,0
407.856,0
407.946,0
408.346,0
408.516,0
408.896,0
409.381,0
409.45,0
409.91,0
410.24,0
410.381,1.8313
410.461,0
411.01,0
411.594,0
412.044,0
412.144,0
412.534,0
412.848,0
413.952,0
414.012,0
414.492,0
414.981,0
415.211,0
415.521,0
415.631,0
416.051,0
416.151,0
416.57,10.505
417.968,0
418.078,0
418.198,0
418.478,0
418.713,0
419.9,0
420.32,0
420.93,0
421.18,0
422.597,0
422.707,0
422.967,0
423.117,0
423.277,0
423.547,0
423.807,0
424.327,0
424.637,0
424.757,0
424.817,0
425.217,0
425.721,0
427.004,0
427.584,0
427.704,0
427.944,0
428.014,0
428.254,0
428.384,0
428.704,0
429.043,5.8219
429.662,0
429.922,0
430.222,0
430.582,0
430.892,0
430.962,0
431.491,0
432.504,0
432.624,0
433.114,0
433.194,0
433.554,0
433.654,0
433.974,0
434.403,0
434.603,0
434.953,0
435.383,0
436.213,0
436.363,0
436.413,0
436.893,0
437.462,0
438.256,0
438.535,0
438.695,0
438.895,0
439.295,0
-4896,0
441.258,0
442.201,0
442.301,0
442.551,0
442.691,0
442.871,0
442.951,0
443.43,0
444.109,0
444.239,0
444.369,0
444.759,0
445.294,0
446.681,0
446.761,0
446.961,0
446.991,0
447.605,0
448.114,0
448.174,0
448.699,0
449.368,0
449.478,0
449.688,0
449.808,0
449.998,0
450.128,0
450.198,0
450.848,0
450.988,0
451.178,0
451.398,0
451.428,0
451.558,0
452.032,0
453,0
453.25,0
453.704,0
454.902,0
455.642,0
456.221,0
456.291,0
456.491,0
456.95,0
457.594,0
457.934,0
458.024,0
458.384,0
458.654,0
458.934,0
459.174,0
459.324,0
459.484,0
459.574,0
459.734,0
460.208,0
461.516,0
461.776,0
462.205,0
463.847,0
463.977,0
464.097,0
464.317,0
464.517,0
464.607,0
464.917,0
465.527,0
465.987,0
466.575,0
466.636,0
466.966,0
467.346,0
467.706,0
467.926,0
468.555,0
469.807,0
470.037,0
470.492,0
471.635,0
471.865,0
471.925,0
472.145,0
473.055,0
473.285,0
473.405,0
473.685,0
473.985,0
474.245,0
474.728,0
475.666,0
476.001,0
476.655,3.9806
476.715,0
476.825,0
477.41,0
478.179,0
478.269,0
478.639,0
478.879,0
478.979,0
479.069,5.1583
479.688,0
480.567,0
480.687,0
481.267,2.2052
481.357,0
481.537,0
481.997,0
482.127,0
482.257,0
482.687,0
483.131,0
483.975,0
484.065,0
484.575,2.2052
484.695,0
485.085,0
485.275,0
485.735,6.5669
486.085,0
486.245,5.8806
486.365,0
486.485,0
486.849,0
488.251,0
488.511,0
488.981,0
490.288,0
490.358,0
490.488,0
490.728,0
491.118,0
491.478,5.6127
492.212,0
492.312,0
492.612,0
493.052,0
493.442,0
493.872,0
494.152,0
495.002,0
495.202,0
495.252,0
495.452,0
495.692,0
496.132,0
496.502,0
496.912,0
497.512,0
497.592,0
497.972,0
498.42,0
499.932,5.8806
500.202,0
500.472,0
500.722,0
500.912,0
501.632,0
501.952,0
502.052,0
502.242,0
502.721,0
504.283,0
504.353,0
504.433,0
504.917,0
505.761,0
505.881,0
506.101,0
506.251,0
506.391,3.8837
507.076,0
508.149,0
508.248,0
508.578,0
508.918,0
509.218,7.0791
509.309,0
509.489,0
509.998,0
511.011,0
511.346,0
512.199,0
512.394,0
513.133,0
513.608,0
514.426,0
514.496,0
515.156,0
515.406,0
515.651,0
516.364,0
516.544,0
516.614,0
516.974,0
517.404,0
517.973,0
518.093,0
518.183,0
518.513,0
519.148,0
520.071,0
520.441,0
520.741,0
521.361,0
521.491,0
521.701,0
522.051,0
522.231,5.807
522.51,0
522.94,3.6379
523.489,0
523.909,0
524.26,0
524.35,0
524.909,0
525.424,0
526.955,0
527.305,0
527.615,0
528.01,7.0791
528.629,0
528.749,0
528.909,0
529.119,0
529.549,0
529.879,0
529.989,0
530.479,0
531.656,0
532.021,0
534.337,0
-4896,0
534.897,0
536.289,0
536.959,0
537.009,0
537.378,0
538.032,0
538.222,0
538.552,0
538.862,0
539.017,0
540.039,0
540.299,0.076185
540.509,0
540.984,0
541.767,0
542.107,0
542.137,0
